x, y
361.77231565329885, 765.3684210526316
368.111254851229, 749.8947368421052
375.3557567917206, 733.6842105263158
383.5058214747736, 719.6842105263158
390.7503234152652, 706.421052631579
398.9003880983182, 691.6842105263158
408.8615782664942, 679.1578947368421
416.1060802069858, 668.1052631578947
426.0672703751617, 657.0526315789474
436.02846054333764, 645.2631578947369
448.7063389391979, 633.4736842105262
459.5730918499353, 625.3684210526316
470.4398447606727, 615.7894736842105
485.83441138421733, 607.6842105263158
496.7011642949547, 598.8421052631579
511.19016817593786, 592.2105263157895
524.7736093143596, 587.0526315789474
538.3570504527813, 579.6842105263158
553.751617076326, 573.7894736842105
572.7684346701164, 567.8947368421052
590.8796895213454, 561.2631578947369
610.8020698576972, 556.1052631578947
631.6300129366106, 551.6842105263158
648.8357050452781, 548
666.0413971539456, 543.578947368421
685.0582147477361, 540.6315789473684
704.0750323415265, 537.6842105263158
722.1862871927555, 534.7368421052631
743.9197930142302, 532.5263157894736
763.8421733505821, 528.8421052631579
787.3868046571798, 527.3684210526316
805.4980595084088, 525.1578947368421
827.2315653298836, 523.6842105263158
848.9650711513583, 520.7368421052631
865.2652005174645, 520
884.2820181112548, 519.2631578947369
904.2043984476066, 517.7894736842105
923.2212160413972, 515.578947368421
942.2380336351875, 514.8421052631579
960.3492884864165, 513.3684210526316
977.5549805950841, 512.6315789473684
994.7606727037515, 511.89473684210526
994.7606727037515, 511.89473684210526
1011.9663648124191, 511.1578947368421
1028.2664941785251, 511.1578947368421
